profile,timing,energy
8.877849959363758,0.4985254498620328,19.588007877272652
9.35892833646592,0.20471696889333094,3.670793287115105
8.959984747779925,0.15640841281379447,1.9639695889308122
8.08219865323232,0.13312102802225217,1.157583604986786
7.323273524137042,0.11930397272070181,0.7633440447070893
5.987132599683631,0.11044802385260487,0.4372739979139366
4.985033647881787,0.10464430826767286,0.272124354026399
3.236676398605347,0.10105967158554559,0.10699274432937693
1.9217309524060728,0.09929589700829017,0.0364122719144611
0.5856400176212669,0.09888277087775549,0.0033535342435006372
