profile,timing,energy,DX,DY
0.0,0.6567327398784738,0.0,0.6518802768368914,-1.8907672381252874
7.761386734124988e-14,0.2722098763206722,2.112726122973069e-14,0.6764627186385042,-1.8821094083342538
1.0594732467172148e-13,0.2091180528894171,2.2155498244193297e-14,0.7034969014966919,-1.8721686611299138
1.4853614103109778e-13,0.17652656166865566,2.6220574259750217e-14,0.7333856188779464,-1.8606585390484032
3.743263583353109e-13,0.1557516806433647,5.830195941983504e-14,0.7666239159334509,-1.8472052994134263
9.873497891595815e-13,0.14104255377013267,1.3925833572746943e-13,0.8038257067710219,-1.831313683874436
6.636992196787711e-12,0.12994367244970248,8.624351400706136e-13,0.8457591242404305,-1.8123161120636446
4.753916338924602,0.10558459060699868,0.5019403104252761,0.8933932206673489,-1.7892957425555291
9.999999999997943,0.07668373479451315,0.7668373479449738,0.9479584989094292,-1.7609675516296974
9.999999999994532,0.05972550720541701,0.5972550720538435,1.0110215926033561,-1.7254908998594267
9.99999999999539,0.050672022659088725,0.5067202265906536,1.084566140343668,-1.6801693354118967
9.999999999997687,0.04480975937336836,0.44809759373358,1.1710464369571127,-1.620966433146183
9.999999999998339,0.04061683512385123,0.40616835123844486,1.2733089502944495,-1.5417364749796043
9.999999999998096,0.037427959023115326,0.374279590231082,1.3940911750978557,-1.433085197579551
9.99999999999692,0.03489934146364239,0.3489934146363164,1.5343901142841787,-1.2810550256489606
9.999999999996474,0.03283342338292286,0.3283342338291128,1.6893907530175056,-1.0670503470537547
9.955720602031102,0.031112941421781323,0.30975175190261517,1.8413336281810189,-0.7735824204604462
7.683717154872685,0.029809333941145322,0.2290464905789069,1.9555735505491612,-0.40215710104285307
4.840066428106679,0.028997902082154667,0.14035177235336158,1.9965384122770047,0.006668677795104827
1.474228987155961,0.02864131319431077,0.04222385414126543,1.959324095332704,0.38788102112228984
2.6138282351287343e-12,0.028599283278261584,7.475361413716519e-14,1.872523670499504,0.6976798237178521
4.883941956261935e-12,0.028655955752556896,1.3995402459669818e-13,1.769253544989624,0.9303594471758494
3.164523838080905e-13,0.02872083522066909,9.0887767705401e-15,1.6693213352482417,1.1003966362278206
4.230876726687791e-14,0.02879220289950235,1.2181626115757723e-15,1.5804902022864553,1.2249638773591407
8.597503592766594e-13,0.02886900313337236,2.482013581587589e-14,1.5043012334899686,1.3176244927276137
5.200610617941549e-13,0.028950409916775114,1.50559809206941e-14,1.439882002887316,1.3878531679263304
1.9588432413156748e-13,0.029035752456765037,5.687648745644919e-15,1.3856873649274348,1.44203880319116
6.574857468389232e-14,0.029124492880297052,1.914893895270701e-15,1.340165084002365,1.484484787065771
1.1292145819696026e-13,0.029216203977124464,3.2991363560767242e-15,1.3019664944295073,1.5181260953046767
2.755891430933012e-13,0.02931054632476704,8.077668345239058e-15,1.2699843720838544,1.544998624660657
2.8399656886366407e-13,0.029407248005673688,8.351557533334155e-15,1.2433326105565357,1.5665389403332526
1.5842061097415136e-13,0.02950608808466005,4.674372501828972e-15,1.2213113614052418,1.58377584572753
7.203331937435951e-14,0.029606883636925513,2.132682104698154e-15,1.2033730554321664,1.597454113098376
1.7632858895171508e-14,0.029709479644826373,5.238630624261935e-16,1.1890938967553666,1.6081154636003792
5.774832836325494e-15,0.029813741088772935,1.7216937101315253e-16,1.1781514882386546,1.6161521825202083
1.4007896287756358e-14,0.029919546584316618,4.191099055298022e-16,1.1703079797371174,1.6218428098408237
3.8334142675744384e-14,0.030026783074880357,1.1510509864860903e-15,1.1653978717731661,1.6253757272609821
7.515368289369844e-14,0.03013534118244129,2.2647818751186042e-15,1.163319699026033,1.6268642239933824
1.0442043443329096e-13,0.0302451108815646,3.1582076177360313e-15,1.1640310151960875,1.6263551950956767
6.538336616242644e-14,0.03035597716411415,1.9847759701395308e-15,1.167546315355139,1.623832659256649
4.078586918734989e-14,0.030467815410689242,1.2426563337646945e-15,1.1739377441699617,1.6192165656723496
2.4229464535885374e-14,0.030580486088114874,7.409488031621154e-16,1.1833386412035907,1.6123567306939304
1.128356715212846e-14,0.03069382834051096,3.4633587323605907e-16,1.19595018295513,1.6030210894728527
8.670553110287149e-16,0.030807651871631418,2.6711938175621752e-17,1.212051594939112,1.590876624008815
0.0,0.030921726227541076,0.0,1.2320146182901226,1.5754601598493458
0.0,0.031035766128964335,0.0,1.2563230760861188,1.5561344359326936
0.0,0.031149410814037357,0.0,1.285598347294581,1.5320220019608897
0.0,0.03126219392226107,0.0,1.3206309024099028,1.5019048318514834
0.0,0.031373498277459416,0.0,1.362415747007617,1.464069897787148
0.0,0.03148248578354841,0.0,1.4121829579380574,1.4160686183442959
0.0,0.03158798570160667,0.0,1.4713967518218851,1.354339623455667
0.0,0.031688313321608486,0.0,1.5416510877912515,1.2736226594721067
0.0,0.031780979521834354,0.0,1.6242785488429945,1.1660923795186733
0.0,0.03186227196734152,0.0,1.719241717546538,1.0202779295668307
0.0,0.03192688846884627,0.0,1.822463691496523,0.8204924124322801
0.0,0.03196857117258304,0.0,1.9207586692573386,0.5495197971429526
0.0,0.031983716395179086,0.0,1.9868087891154573,0.2003397619689764
0.0,0.03197592649160579,0.0,1.986078772097244,-0.20277715228607107
0.0,0.03195013811264593,0.0,1.9045160828682128,-0.6000478241683709
0.0,0.031903334635245015,0.0,1.7659280415500689,-0.9340117866663675
0.0,0.031832410653699454,0.0,1.6091099780169316,-1.1853203981287024
0.0,0.03174299053849462,0.0,1.4635149456807994,-1.3620248752102668
0.0,0.031640457139993444,0.0,1.359723460245732,-1.4663340939815637
